"Prod_ID","M1","M2","P1","P2","P3","C1","C2","P4","P5","P6","Y"
1001065,25,"E","A","A","A",106.861,26.848,"B","B","D",5
1001066,25,"U","B","B","C",112.058,29.252,"B","B","B",0
1001067,15,"E","A","A","A",118.06,30.715,"B","B","C",0
1001068,15,"U","A","B","B",106.027,29.66,"B","B","A",1
1001069,20,"E","A","A","A",112.227,28.669,"A","A","D",0
1001070,20,"K","A","A","B",109.189,30.107,"C","C","C",0
1001071,20,"E","A","B","A",104.061,30.661,"B","B","A",0
1001072,15,"U","A","B","B",108.285,30.474,"A","A","A",0
1001073,15,"K","A","C","C",103.167,30.491,"B","B","A",0
1001074,15,"K","A","C","C",115.075,28.906,"C","C","C",0
1001075,20,"E","A","C","A",106.368,27.92,"B","B","D",4
1001076,15,"U","A","A","A",114.848,26.673,"B","B","D",3
1001077,15,"E","A","C","D",110.491,30.737,"C","C","C",0
1001078,25,"E","A","A","A",111.175,29.016,"C","C","B",0
1001079,20,"U","A","A","B",123.086,30.475,"C","C","A",2
1001080,20,"E","A","A","D",112.349,29.794,"A","A","A",0
1001081,25,"E","A","C","A",105.17,30.906,"B","B","C",0
1001082,15,"U","A","C","A",114.264,29.24,"B","B","A",0
1001083,20,"U","B","A","C",108.892,30.582,"C","C","C",0
1001084,15,"E","A","B","A",118.018,29.715,"C","C","A",0
1001085,20,"U","A","B","B",107.765,31.23,"A","A","B",0
1001086,20,"U","A","A","A",113.913,28.838,"B","B","C",1
1001087,25,"K","A","A","C",106.205,31.535,"C","C","B",0
1001088,20,"K","B","C","D",105.626,30.399,"A","A","D",0
1001089,20,"E","A","A","C",104.071,28.458,"A","A","D",0
1001090,20,"U","A","C","B",111.17,31.277,"C","C","B",2
1001091,15,"U","A","B","C",112.231,29.679,"C","C","C",0
1001092,25,"E","A","B","D",111.056,29.972,"A","A","B",1
1001093,15,"U","A","A","A",112.194,27.167,"B","B","C",3
1001094,15,"K","A","C","C",109.213,30.158,"B","B","A",0
1001095,15,"U","B","C","B",105.852,29.878,"C","C","A",0
1001096,25,"E","A","A","D",110.064,29.703,"B","B","C",0
1001097,20,"E","A","A","D",107.272,30.895,"B","B","C",0
1001098,15,"E","B","A","A",104.697,30.798,"A","A","B",0
1001099,25,"U","A","B","A",111.976,31.129,"A","A","C",2
1001100,20,"K","A","A","C",104.661,29.137,"C","C","C",0
1001101,15,"E","A","A","A",116.351,29.906,"A","A","A",2
1001102,20,"E","A","A","A",107.208,30.526,"B","B","A",1
1001103,15,"E","A","C","D",106.613,29.945,"A","A","B",0
1001104,15,"E","A","A","A",104.653,31.288,"B","B","C",2
1001105,25,"E","A","C","C",112.372,28.453,"B","B","C",0
1001106,25,"U","A","B","B",110.825,29.47,"C","C","D",0
1001107,25,"U","A","B","B",103.855,30.13,"C","C","C",0
1001108,15,"K","A","B","D",107.889,32.108,"C","C","B",4
1001109,25,"U","A","C","B",109.027,29.678,"A","A","D",2
1001110,15,"U","A","A","B",111.244,31.081,"B","B","A",0
1001111,25,"E","A","C","A",109.726,29.3,"C","C","B",2
1001112,25,"K","A","C","B",108.02,29.846,"C","C","A",0
1001113,20,"E","A","C","A",111.821,29.726,"A","A","D",0
1001114,15,"U","A","B","C",117.293,29.103,"A","A","D",0
1001115,25,"K","A","B","C",106.53,35.484,"C","C","D",4
1001116,25,"E","A","C","C",114.57,28.528,"A","A","C",4
1001117,20,"E","A","C","A",114.837,30.276,"C","C","C",0
1001118,25,"E","A","C","A",106.532,33.707,"C","C","A",4
1001119,15,"U","A","C","A",102.161,28.692,"A","A","B",2
1001120,25,"U","A","B","B",110.54,29.688,"C","C","C",0
1001121,20,"U","A","A","B",111.183,31.486,"B","B","A",1
1001122,15,"U","A","A","B",110.436,29.658,"B","B","B",1
1001123,30,"U","A","B","B",106.02,27.447,"B","B","D",5
1001124,15,"K","A","B","D",116.283,29.711,"B","B","C",5
1001125,20,"K","A","B","D",110.925,28.785,"B","B","D",5
1001126,20,"K","A","A","C",104.608,30.792,"A","A","C",2
1001127,15,"U","A","B","B",121.672,29.572,"C","C","D",0
1001128,15,"U","A","B","B",106.482,28.714,"C","C","A",2
1001129,25,"U","A","B","C",111.165,28.617,"B","B","B",0
1001130,25,"E","A","B","A",107.186,28.903,"A","A","C",2
1001131,25,"K","B","C","D",110.828,31.183,"A","A","D",0
1001132,20,"E","A","C","A",111.587,28.912,"C","C","B",2
1001133,25,"K","A","C","C",108.89,30.177,"C","C","A",0
1001134,20,"U","A","A","A",114.517,31.308,"B","B","D",3
1001135,20,"U","B","A","B",109.474,32.008,"B","B","A",1
1001136,20,"E","A","A","A",107.828,30.76,"A","A","D",0
1001137,25,"K","A","A","B",104.332,30.469,"B","B","A",5
1001138,25,"U","A","B","B",113.486,29.738,"A","A","A",0
1001139,30,"E","A","C","C",104.67,28.489,"B","B","D",5
1001140,15,"U","A","B","B",114.494,32.696,"B","A","B",0
1001141,15,"U","A","B","A",106.967,32.877,"C","C","A",3
1001142,20,"K","A","A","D",106.551,29.23,"A","A","B",3
1001143,20,"U","A","C","A",112.103,30.9,"A","A","A",0
1001144,25,"K","A","C","C",104.249,32.814,"C","C","B",3
1001145,20,"K","A","A","C",107.315,30.385,"A","A","B",1
1001146,25,"E","B","B","D",112.853,30.354,"C","C","B",0
1001147,15,"E","A","B","A",118.655,28.733,"C","C","A",0
1001148,15,"E","A","C","C",108.758,30.638,"A","A","C",1
1001149,20,"U","B","A","B",115.466,32.578,"A","A","A",0
1001150,25,"E","A","C","A",107.352,33.035,"A","A","B",0
1001151,25,"K","A","C","B",115.112,34.922,"B","B","D",3
1001152,20,"K","A","C","C",112.018,31.213,"C","C","A",0
1001153,20,"E","A","A","A",106.964,29.087,"A","A","A",5
1001154,20,"E","A","C","D",105.558,38.673,"A","A","C",0
1001155,15,"E","A","C","A",107.554,36.916,"B","B","D",5
1001156,20,"U","A","C","B",123.338,28.732,"C","C","C",0
1001157,20,"E","A","C","D",103.098,30.427,"C","C","D",0
1001158,20,"U","A","B","B",106.091,34.925,"C","C","C",3
1001159,25,"K","A","A","D",112.387,35.643,"A","A","A",3
1001160,20,"U","A","C","B",104.606,30.554,"C","C","C",0
1001161,25,"K","A","C","C",104.664,31.747,"C","C","D",5
1001162,15,"K","A","B","D",104.744,33.861,"B","B","B",0
1001163,15,"U","A","C","C",108.201,32.218,"B","B","B",0
1001164,15,"K","A","A","D",106.299,32.801,"A","A","D",3
1001165,25,"E","A","A","D",105.345,31.804,"A","A","B",0
1001166,20,"K","A","C","C",105.465,32.125,"A","A","C",2
1001167,25,"K","B","C","C",106.167,32.86,"A","A","B",0
1001168,25,"U","A","C","B",111.76,29.713,"C","C","B",0
1001169,25,"E","A","A","D",104.159,35.093,"C","C","B",0
1001170,15,"E","A","A","D",109.128,34.953,"C","C","D",0
1001171,15,"E","B","B","D",113.169,32.642,"B","B","C",1
1001172,25,"K","A","C","D",108.069,34.072,"B","B","B",0
1001173,25,"E","A","C","D",108.49,36.763,"B","A","D",0
1001174,25,"E","A","B","D",105.488,33.045,"C","C","A",2
1001175,25,"E","A","B","D",119.307,32.341,"C","C","B",0
1001176,15,"U","A","B","B",109.335,35.761,"A","A","B",0
1001177,20,"K","A","C","C",115.53,31.892,"C","C","B",0
1001178,20,"E","A","A","D",111.016,32.441,"B","B","C",0
1001179,15,"K","A","C","D",104.033,32.67,"B","B","C",3
1001180,15,"E","A","A","D",106.791,33.245,"B","C","B",1
1001181,15,"U","A","C","B",108.456,32.487,"A","A","C",2
1001182,20,"K","A","B","D",104.295,35.484,"C","C","D",5
1001183,15,"E","A","C","C",105.938,32.63,"C","C","C",5
1001184,15,"E","A","C","D",112.936,32.525,"C","C","B",0
1001185,15,"E","A","A","D",116.791,33.363,"A","A","C",2
1001186,15,"U","A","B","B",113.202,34.84,"B","B","A",0
1001187,25,"E","A","B","D",103.884,32.232,"A","A","A",1
1001188,25,"U","A","A","A",104.874,32.593,"A","A","C",5
1001189,25,"U","A","B","B",110.848,32.332,"A","A","D",0
1001190,20,"U","B","C","C",107.577,35.047,"C","C","D",0
1001191,20,"E","A","A","D",110.757,34.452,"C","C","D",0
1001192,20,"U","B","C","B",117.48,32.94,"B","B","B",0
1001193,20,"E","B","C","D",106.648,38.178,"A","A","A",0
1001194,15,"E","A","C","D",110.717,32.373,"C","C","D",0
1001195,25,"U","A","A","B",108.021,33.27,"B","B","D",5
1001196,15,"E","A","C","D",115.151,31.628,"A","A","C",0
1001197,15,"E","A","B","D",114.585,33.899,"A","A","B",0
1001198,20,"U","A","A","B",105.711,33.232,"B","B","A",0
1001199,25,"E","A","A","A",109.767,32.057,"A","A","D",0
1001200,25,"E","A","C","D",103.733,34.76,"C","C","C",0
1001201,15,"E","A","B","D",110.205,27.049,"A","A","B",0
1001202,20,"E","A","B","D",109.955,27.222,"A","A","A",0
1001203,15,"U","A","B","B",110.224,27.442,"B","B","B",4
1001204,25,"K","B","B","C",107.243,27.294,"A","A","C",0
1001205,20,"E","A","A","D",105.02,28.293,"B","B","A",0
1001206,20,"K","A","A","C",105.752,27.076,"B","B","B",0
1001207,20,"U","A","B","A",121.251,26.828,"C","C","D",3
1001208,20,"U","A","B","B",104.713,27.521,"B","B","A",0
1001209,15,"U","A","C","C",105.384,27.32,"B","B","D",0
1001210,15,"E","A","C","A",114.518,25.19,"A","A","D",0
1001211,15,"U","A","B","B",109.178,23.826,"B","B","C",0
1001212,15,"K","A","B","D",110.626,27.483,"C","C","D",3
1001213,20,"E","A","A","A",104.348,27.048,"A","A","A",5
1001214,15,"K","A","A","C",110.866,27.911,"B","B","A",0
1001215,15,"E","A","A","C",114.304,27.683,"C","C","D",1
1001216,15,"U","A","B","A",114.932,26.922,"C","C","B",1
1001217,20,"U","A","B","B",109.192,26.861,"A","A","C",0
1001218,20,"E","A","B","A",110.267,28.001,"B","B","C",2
1001219,15,"K","B","A","D",108.231,25.912,"B","B","A",2
1001220,25,"U","A","B","B",107.566,27.905,"C","C","A",0
1001221,25,"E","A","B","A",111.421,28.081,"B","B","C",0
1001222,15,"E","A","C","D",112.341,28.109,"C","C","B",0
1001223,25,"U","A","A","A",107.204,27.452,"B","B","C",3
1001224,15,"E","A","A","D",113.239,26.25,"C","C","D",0
1001225,15,"U","A","C","B",106.762,20.039,"B","B","C",0
1001226,25,"U","A","B","B",106.213,24.976,"A","A","B",3
1001227,25,"E","A","A","D",115.23,27.33,"C","C","A",0
1001228,20,"U","A","B","B",104.362,25.089,"C","C","B",0
1001229,25,"E","A","A","D",106.875,25.163,"B","B","B",0
1001230,15,"K","B","A","C",113.924,27.878,"A","A","B",0
1001231,15,"K","A","C","C",108.522,26.408,"B","B","A",0
1001232,20,"U","A","A","B",105.317,26.943,"C","C","C",0
1001233,20,"U","B","A","B",104.028,28.976,"B","B","D",0
1001234,25,"U","A","A","C",110.792,26.473,"C","C","D",0
1001235,15,"E","A","B","A",109.017,25.476,"C","C","B",5
1001236,25,"K","A","C","D",111.501,32.402,"C","C","B",3
1001237,25,"E","A","B","D",114.151,28.024,"A","A","D",0
1001238,25,"U","A","B","B",110.205,24.377,"B","B","B",4
1001239,25,"U","A","B","B",114.316,27.308,"C","C","A",0
1001240,15,"U","A","C","B",106.161,26.207,"A","A","C",0
1001241,30,"U","A","A","A",112.891,28.249,"A","A","D",3
1001242,20,"U","A","B","A",109.235,29.056,"C","C","A",1
1001243,20,"K","A","C","C",108.825,30.614,"C","C","B",0
1001244,25,"U","A","A","C",106.548,29.928,"C","C","D",0
1001245,20,"E","B","B","A",104.49,29.095,"B","B","B",0
1001246,20,"K","A","A","C",108.294,31.001,"B","B","D",0
1001247,20,"E","B","B","A",110.184,28.672,"C","C","B",0
1001248,15,"U","A","B","B",108.201,28.689,"C","C","B",0
1001249,20,"E","A","C","A",110.338,30.643,"A","A","D",5
1001250,25,"U","A","C","A",110.508,25.906,"A","A","C",1
1001251,15,"U","A","C","A",107.94,28.091,"A","A","A",1
1001252,25,"E","A","B","A",121.852,28.061,"A","A","C",1
1001253,20,"E","B","C","A",111.276,26.636,"A","A","C",1
1001254,15,"U","A","B","B",105.467,26.919,"A","A","D",0
1001255,20,"K","A","C","C",106.069,30.004,"B","B","C",1
1001256,15,"U","A","C","B",110.843,25.951,"A","A","D",2
1001257,15,"E","A","A","C",113.535,30.151,"A","A","A",4
1001258,15,"K","A","B","C",115.659,27.934,"A","A","A",2
1001259,15,"U","A","C","A",106.396,29.185,"B","B","A",0
1001260,15,"E","A","C","C",108.205,29.187,"A","A","A",5
1001261,20,"U","A","A","A",109.738,26.471,"B","B","D",4
1001262,20,"E","A","C","A",113.233,28.451,"B","C","A",0
1001263,15,"U","A","B","B",113.039,31.028,"C","C","D",0
1001264,15,"E","A","C","C",107.967,31.419,"C","C","C",0
1001265,25,"E","A","A","A",106.86,26.836,"B","B","D",5
1001266,25,"U","B","B","C",112.065,29.241,"B","B","B",0
1001267,15,"E","A","A","A",118.036,30.71,"B","B","C",0
1001268,15,"U","A","B","B",106.062,29.678,"B","B","A",1
1001269,20,"E","A","A","A",112.218,28.651,"A","A","D",0
1001270,20,"K","A","A","B",109.178,30.102,"C","C","C",0
1001271,20,"E","A","B","A",104.069,30.676,"B","B","A",0
1001272,15,"U","A","B","B",108.288,30.472,"A","A","A",0
1001273,15,"K","A","C","C",103.163,30.489,"B","B","A",0
1001274,15,"K","A","C","C",115.081,28.907,"C","C","C",0
1001275,20,"E","A","C","A",106.348,27.889,"B","B","D",4
1001276,15,"U","A","A","A",114.836,26.65,"B","B","D",3
1001277,15,"E","A","C","D",110.511,30.752,"C","C","C",0
1001278,25,"E","A","A","A",111.161,29.028,"C","C","B",0
1001279,20,"U","A","A","B",123.087,30.477,"C","C","A",2
1001280,20,"E","A","A","D",112.333,29.78,"A","A","A",0
1001281,25,"E","A","C","A",105.186,30.884,"B","B","C",0
1001282,15,"U","A","C","A",114.274,29.229,"B","B","A",0
1001283,20,"U","B","A","C",108.881,30.593,"C","C","C",0
1001284,15,"E","A","B","A",118.026,29.725,"C","C","A",0
1001285,20,"U","A","B","B",107.78,31.23,"A","A","B",0
1001286,20,"U","A","A","A",113.927,28.837,"B","B","C",1
1001287,25,"K","A","A","C",106.202,31.553,"C","C","B",0
1001288,20,"K","B","C","D",105.621,30.407,"A","A","D",0
1001289,20,"E","A","A","C",104.062,28.452,"A","A","D",0
1001290,20,"U","A","C","B",111.175,31.311,"C","C","B",2
1001291,15,"U","A","B","C",112.224,29.67,"C","C","C",0
1001292,25,"E","A","B","D",111.075,29.988,"A","A","B",1
1001293,15,"U","A","A","A",112.217,27.162,"B","B","C",3
1001294,15,"K","A","C","C",109.229,30.144,"B","B","A",0
1001295,15,"U","B","C","B",105.854,29.886,"C","C","A",0
1001296,25,"E","A","A","D",110.055,29.693,"B","B","C",0
1001297,20,"E","A","A","D",107.261,30.913,"B","B","C",0
1001298,15,"E","B","A","A",104.719,30.829,"A","A","B",0
1001299,25,"U","A","B","A",111.965,31.123,"A","A","C",2
1001300,20,"K","A","A","C",104.67,29.137,"C","C","C",0
1001301,15,"E","A","A","A",116.362,29.925,"A","A","A",2
1001302,20,"E","A","A","A",107.186,30.516,"B","B","A",1
1001303,15,"E","A","C","D",106.631,29.925,"A","A","B",0
1001304,15,"E","A","A","A",104.671,31.27,"B","B","C",2
1001305,25,"E","A","C","C",112.358,28.44,"B","B","C",0
1001306,25,"U","A","B","B",110.842,29.462,"C","C","D",0
1001307,25,"U","A","B","B",103.874,30.132,"C","C","C",0
1001308,15,"K","A","B","D",107.887,32.111,"C","C","B",4
1001309,25,"U","A","C","B",109.044,29.684,"A","A","D",2
1001310,15,"U","A","A","B",111.239,31.1,"B","B","A",0
1001311,25,"E","A","C","A",109.722,29.317,"C","C","B",2
1001312,25,"K","A","C","B",108.015,29.838,"C","C","A",0
1001313,20,"E","A","C","A",111.803,29.707,"A","A","D",0
1001314,15,"U","A","B","C",117.285,29.093,"A","A","D",0
1001315,25,"K","A","B","C",106.539,35.469,"C","C","D",4
1001316,25,"E","A","C","C",114.574,28.521,"A","A","C",4
1001317,20,"E","A","C","A",114.857,30.259,"C","C","C",0
1001318,25,"E","A","C","A",106.535,33.704,"C","C","A",4
1001319,15,"U","A","C","A",102.159,28.715,"A","A","B",2
1001320,25,"U","A","B","B",110.542,29.687,"C","C","C",0
1001321,20,"U","A","A","B",111.165,31.485,"B","B","A",1
1001322,15,"U","A","A","B",110.407,29.664,"B","B","B",1
1001323,30,"U","A","B","B",106.014,27.446,"B","B","D",5
1001324,15,"K","A","B","D",116.28,29.718,"B","B","C",5
1001325,20,"K","A","B","D",110.923,28.78,"B","B","D",5
1001326,20,"K","A","A","C",104.583,30.822,"A","A","C",2
1001327,15,"U","A","B","B",121.678,29.566,"C","C","D",0
1001328,15,"U","A","B","B",106.463,28.715,"C","C","A",2
1001329,25,"U","A","B","C",111.184,28.636,"B","B","B",0
1001330,25,"E","A","B","A",107.159,28.921,"A","A","C",2
1001331,25,"K","B","C","D",110.809,31.168,"A","A","D",0
1001332,20,"E","A","C","A",111.574,28.899,"C","C","B",2
1001333,25,"K","A","C","C",108.902,30.168,"C","C","A",0
1001334,20,"U","A","A","A",114.528,31.328,"B","B","D",3
1001335,20,"U","B","A","B",109.469,32.009,"B","B","A",1
1001336,20,"E","A","A","A",107.838,30.748,"A","A","D",0
1001337,25,"K","A","A","B",104.332,30.48,"B","B","A",5
1001338,25,"U","A","B","B",113.468,29.728,"A","A","A",0
1001339,15,"U","A","B","B",114.499,32.688,"B","A","B",0
1001340,15,"U","A","B","A",106.941,32.897,"C","C","A",3
1001341,20,"K","A","A","D",106.57,29.23,"A","A","B",3
1001342,20,"U","A","C","A",112.114,30.891,"A","A","A",0
1001343,25,"K","A","C","C",104.286,32.795,"C","C","B",3
1001344,20,"K","A","A","C",107.353,30.412,"A","A","B",1
1001345,25,"E","B","B","D",112.835,30.358,"C","C","B",0
1001346,15,"E","A","B","A",118.669,28.749,"C","C","A",0
1001347,15,"E","A","C","C",108.757,30.651,"A","A","C",1
1001348,20,"U","B","A","B",115.476,32.571,"A","A","A",0
1001349,25,"E","A","C","A",107.343,33.028,"A","A","B",0
1001350,25,"K","A","C","B",115.123,34.908,"B","B","D",3
1001351,20,"K","A","C","C",112.021,31.217,"C","C","A",0
1001352,20,"E","A","A","A",106.969,29.078,"A","A","A",5
1001353,20,"E","A","C","D",105.557,38.635,"A","A","C",0
1001354,15,"E","A","C","A",107.557,36.894,"B","B","D",5
1001355,20,"U","A","C","B",123.304,28.72,"C","C","C",0
1001356,20,"E","A","C","D",103.112,30.435,"C","C","D",0
1001357,20,"U","A","B","B",106.101,34.915,"C","C","C",3
1001358,25,"K","A","A","D",112.373,35.641,"A","A","A",3
1001359,20,"U","A","C","B",104.645,30.548,"C","C","C",0
1001360,25,"K","A","C","C",104.694,31.756,"C","C","D",5
1001361,15,"K","A","B","D",104.733,33.865,"B","B","B",0
1001362,15,"U","A","C","C",108.212,32.203,"B","B","B",0
1001363,15,"K","A","A","D",106.28,32.798,"A","A","D",3
1001364,25,"E","A","A","D",105.352,31.784,"A","A","B",0
1001365,20,"K","A","C","C",105.472,32.13,"A","A","C",2
1001366,25,"K","B","C","C",106.185,32.86,"A","A","B",0
1001367,25,"U","A","C","B",111.769,29.705,"C","C","B",0
1001368,25,"E","A","A","D",104.163,35.101,"C","C","B",0
1001369,15,"E","A","A","D",109.109,34.958,"C","C","D",0
1001370,15,"E","B","B","D",113.17,32.636,"B","B","C",1
1001371,25,"K","A","C","D",108.079,34.08,"B","B","B",0
1001372,25,"E","A","C","D",108.5,36.735,"B","A","D",0
1001373,25,"E","A","B","D",105.463,33.035,"C","C","A",2
1001374,25,"E","A","B","D",119.316,32.335,"C","C","B",0
1001375,15,"U","A","B","B",109.351,35.774,"A","A","B",0
1001376,20,"K","A","C","C",115.521,31.874,"C","C","B",0
1001377,20,"E","A","A","D",111.01,32.429,"B","B","C",0
1001378,15,"K","A","C","D",104.041,32.677,"B","B","C",3
1001379,15,"E","A","A","D",106.785,33.273,"B","C","B",1
1001380,15,"U","A","C","B",108.441,32.5,"A","A","C",2
1001381,20,"K","A","B","D",104.314,35.47,"C","C","D",5
1001382,15,"E","A","C","C",105.932,32.641,"C","C","C",5
1001383,15,"E","A","C","D",112.922,32.532,"C","C","B",0
1001384,15,"E","A","A","D",116.801,33.364,"A","A","C",2
1001385,15,"U","A","B","B",113.161,34.839,"B","B","A",0
1001386,25,"E","A","B","D",103.886,32.237,"A","A","A",1
1001387,25,"U","A","A","A",104.852,32.561,"A","A","C",5
1001388,25,"U","A","B","B",110.832,32.35,"A","A","D",0
1001389,20,"U","B","C","C",107.573,35.03,"C","C","D",0
1001390,20,"E","A","A","D",110.754,34.482,"C","C","D",0
1001391,20,"U","B","C","B",117.486,32.946,"B","B","B",0
1001392,20,"E","B","C","D",106.647,38.176,"A","A","A",0
1001393,15,"E","A","C","D",110.724,32.388,"C","C","D",0
1001394,25,"U","A","A","B",108.007,33.276,"B","B","D",5
1001395,15,"E","A","C","D",115.122,31.633,"A","A","C",0
1001396,15,"E","A","B","D",114.606,33.887,"A","A","B",0
1001397,20,"U","A","A","B",105.702,33.247,"B","B","A",0
1001398,25,"E","A","A","A",109.78,32.059,"A","A","D",0
1001399,25,"E","A","C","D",103.742,34.759,"C","C","C",0
1001400,15,"E","A","B","D",110.168,27.048,"A","A","B",0
1001401,20,"E","A","B","D",109.963,27.227,"A","A","A",0
1001402,15,"U","A","B","B",110.216,27.453,"B","B","B",4
1001403,25,"K","B","B","C",107.274,27.309,"A","A","C",0
1001404,20,"E","A","A","D",105.027,28.297,"B","B","A",0
1001405,20,"K","A","A","C",105.741,27.103,"B","B","B",0
1001406,20,"U","A","B","A",121.243,26.83,"C","C","D",3
1001407,20,"U","A","B","B",104.724,27.513,"B","B","A",0
1001408,15,"U","A","C","C",105.391,27.33,"B","B","D",0
1001409,15,"E","A","C","A",114.502,25.189,"A","A","D",0
1001410,15,"U","A","B","B",109.191,23.825,"B","B","C",0
1001411,15,"K","A","B","D",110.649,27.48,"C","C","D",3
1001412,20,"E","A","A","A",104.337,27.095,"A","A","A",5
1001413,15,"K","A","A","C",110.873,27.916,"B","B","A",0
1001414,15,"E","A","A","C",114.307,27.67,"C","C","D",1
1001415,15,"U","A","B","A",114.921,26.935,"C","C","B",1
1001416,20,"U","A","B","B",109.203,26.854,"A","A","C",0
1001417,20,"E","A","B","A",110.246,27.998,"B","B","C",2
1001418,15,"K","B","A","D",108.227,25.933,"B","B","A",2
1001419,25,"U","A","B","B",107.562,27.905,"C","C","A",0
1001420,25,"E","A","B","A",111.437,28.078,"B","B","C",0
1001421,15,"E","A","C","D",112.356,28.135,"C","C","B",0
1001422,25,"U","A","A","A",107.197,27.442,"B","B","C",3
1001423,15,"E","A","A","D",113.235,26.277,"C","C","D",0
1001424,15,"U","A","C","B",106.753,20.05,"B","B","C",0
1001425,25,"U","A","B","B",106.203,24.989,"A","A","B",3
1001426,25,"E","A","A","D",115.213,27.349,"C","C","A",0
1001427,20,"U","A","B","B",104.392,25.074,"C","C","B",0
1001428,25,"E","A","A","D",106.877,25.186,"B","B","B",0
1001429,15,"K","B","A","C",113.921,27.88,"A","A","B",0
1001430,15,"K","A","C","C",108.504,26.419,"B","B","A",0
1001431,20,"U","A","A","B",105.322,26.93,"C","C","C",0
1001432,20,"U","B","A","B",104.005,28.984,"B","B","D",0
1001433,25,"U","A","A","C",110.772,26.478,"C","C","D",0
1001434,15,"E","A","B","A",109.034,25.468,"C","C","B",5
